repo,pluginStatus,category,readmeLength,fenceMarkCount,practicalVersion,oldScore,practicalV2,delta,ease
GTC2080/dsh-APEX_Plugin,verified-plugin,model,21808,38,2,80,46,-34,100
Nzssm1/dsh-a-stock-five-dimension,unknown,skill,8372,8,2,50,25,-25,100
vcxmug/dsh-evo,unknown,tools,2935,6,2,80,0,-80,80
1035041186/dsh-llm-ollama,verified-plugin,model,4457,8,2,80,56,-24,100
LINinLIN-0079/godot-asset-planner-public,verified-plugin,model,22503,16,2,80,53,-27,80
crazy-L118/dsh-deepseek-balance-widget,verified-plugin,tools,3044,8,2,80,27,-53,65
NelsonLongxiang/dsh-prompt-templates,verified-plugin,session,2747,6,2,80,29,-51,100
backrooms-yrc/dsh-openai-gateway,verified-plugin,model,6932,24,2,80,21,-59,65
yanzhao77/deepseek_software,unknown,skill,20449,16,2,50,55,5,65
Moses14159/dsh-visualizer,verified-plugin,other,12447,14,2,80,81,1,100
yxy050208/multisim-mcp,verified-plugin,model,9984,12,2,80,53,-27,80
bobowsh/dsh-llm-opencode,verified-plugin,model,3995,6,2,80,4,-76,65
zyh20041227/improved_vision_for_deepseek,verified-plugin,model,6009,6,2,80,44,-36,100
AJUbest/dsh-plugin-optimization,verified-plugin,tools,2127,6,2,80,40,-40,100
cnzgray/dsh-plugins,verified-plugin,other,2068,4,2,80,0,-80,100
ljsysfurryACE/dsh-aura-scheduler,verified-plugin,workflow,2690,10,2,50,11,-39,65
ayingQAQ/dsh-web-launcher,verified-plugin,ui,1338,8,2,40,0,-40,65
GHJIVHIDD/dsh-plugin-container,verified-plugin,skill,14164,16,2,80,63,-17,80
fuyu-jie/dsh-go-plugin,conflict,other,2141,10,2,50,30,-20,100
862930522/opencode-anchored-standard,verified-non-plugin,model,3369,6,2,80,15,-65,80
ink5897/dsh-theme-kit,verified-plugin,theme,2815,6,2,80,32,-48,100
wpc0323/deepseek-web-import,verified-plugin,session,3338,4,2,80,54,-26,100
yxsj245/dsh-Basics-Panel,verified-plugin,tools,2308,6,2,80,18,-62,100
fangweixuan26-hash/dsh-a2a-agent,verified-plugin,model,7586,20,2,50,31,-19,65
iluluyu/dsh-ui-outline,verified-plugin,tools,3522,4,2,80,25,-55,100
flow2dream/dsh-msg-rewind,verified-plugin,session,3709,14,2,80,40,-40,100
lk251066/dsh-tui-pro,conflict,ui,6498,8,2,80,32,-48,65
rqwj/oh-my-ticket,verified-plugin,tools,5335,8,2,80,27,-53,80
zoahdev/dsh-zh,verified-plugin,skill,1100,4,2,70,22,-48,100
sixtysevenlf/dsh-cost-guard,verified-plugin,session,7624,8,2,50,31,-19,65
WJZ-P/dsh-model-capabilities,verified-plugin,model,3101,10,2,50,48,-2,100
CJYLZS/dsh-opencode-go-autosync,verified-plugin,model,4252,16,2,80,41,-39,65
guo-ziao/dsh-interrupt-button,verified-plugin,ui,2836,6,2,80,37,-43,100
KhalilYamber/dsh-tidewatch,verified-plugin,other,2691,8,2,80,14,-66,100
a903067276-rgb/dsh-todo-guard,verified-plugin,tools,3204,4,2,80,28,-52,100
FeiZhuNiU-INFJA/dsh-stock-ticker,verified-plugin,ui,1992,4,2,40,27,-13,100
jin123-alpha/dsh-ext-vision-proxy,verified-plugin,model,4190,6,2,80,46,-34,80
qiushi-dev/dsh-session-nexus,verified-plugin,session,3717,4,2,80,40,-40,100
SUJIElearning/dsh-search-free-nokey,verified-plugin,model,2645,8,2,50,23,-27,100
clarknu/dsh-gateway,verified-plugin,remote,3498,10,2,80,47,-33,100
truelove-dreamer/dsh-plugin-hooks,verified-plugin,workflow,2752,12,2,80,21,-59,100
JiayuuWang/dsh-files-panel,verified-plugin,tools,4252,8,2,80,18,-62,80
iswalle/getnote-dsh-plugin,verified-plugin,other,2308,22,2,80,48,-32,100
Lion-1209/dsh-plugin-wiki-skills,verified-plugin,skill,3887,6,2,80,0,-80,100
ZekaiShi/smart-subagent,verified-plugin,model,4904,14,2,80,42,-38,100
Lion-1209/dsh-plugin-wiki-tools,verified-plugin,tools,3637,8,2,80,9,-71,100
Ratevoid/dsh-aseprite,verified-plugin,ui,4510,8,2,80,13,-67,80
meimiaoji-creator/meow-vision,verified-plugin,tools,5780,20,2,80,29,-51,100
vibeinging/dsh-red-alert,verified-plugin,model,10568,28,2,80,71,-9,100
SoMarkAI/dsh-tool-somark,verified-plugin,tools,3844,6,2,80,15,-65,65
zilliztech/dsh-milvus,verified-plugin,tools,16082,24,2,80,25,-55,65
LBXC-666/dsh-voice-input,verified-plugin,tools,7197,24,2,50,58,8,65
Flycat43/liang-desktop-pet,verified-plugin,fun,2494,10,2,50,34,-16,100
Britneycode/dsh-update-center,verified-plugin,theme,3977,10,2,80,25,-55,100
AI-Scarlett/dsh-safe-plugin-manager,verified-plugin,market,25255,10,2,80,64,-16,100
ericw0315/dsh-usage-lite,verified-plugin,usage,3996,10,2,80,58,-22,65
lunaship/dsh-links,verified-plugin,remote,5282,6,2,80,34,-46,100
chidaic/dsh-light-memory,verified-plugin,memory,5421,6,2,50,36,-14,100
Shizuku-keop/dsh-micro-inversion-standard,unknown,other,7227,12,2,80,40,-40,100
tingfeng347/dsh-vscode-workbench,verified-plugin,ui,1891,4,2,70,30,-40,70
wangyuanchuan2022/dsh-prompt-optimizer,verified-plugin,skill,2018,2,2,80,25,-55,100
kestiny18/dsh-plugins,verified-plugin,other,1980,4,2,40,3,-37,65
23swccp/dsh-undo,verified-plugin,session,6491,8,2,80,54,-26,100
Argonaut790/dsh-deepseek-vision,verified-plugin,model,6378,8,2,80,25,-55,100
usertianziyang/DSH-Plugin-Hub,unknown,theme,11604,14,2,80,40,-40,45
BenjaminSHI4008/deepseek-pet-Seeki,unknown,fun,9218,14,2,80,67,-13,65
Plocr/dsh-desktop,verified-plugin,other,6773,6,2,80,59,-21,65
faith1688/dsh-usage-meter-harness,verified-plugin,model,7765,14,2,80,44,-36,65
AxelGoal/Deepharn,unknown,tools,8398,12,2,50,9,-41,100
linxuhao/AItelier,unknown,tools,27217,20,2,80,54,-26,65
moonbowterfly/dsh-bio-genie,verified-plugin,skill,11505,18,2,50,57,7,100
DshMarketPlace/dshmarketplace,verified-non-plugin,market,11882,12,2,50,27,-23,35
Bandersnatch0x/design-playbook,verified-plugin,skill,9817,8,2,50,27,-23,65
AmethystLuna/logicprobe,verified-plugin,skill,6895,26,2,80,46,-34,80
TT-Wang/dsh-assembler,unknown,other,36190,23,2,80,54,-26,45
Neplich/dsh_plugin,conflict,other,9105,6,2,50,25,-25,100
ldgeng/dsh-claudecode-tips,verified-plugin,dev,2233,14,2,80,0,-80,100
uwu9039/dsh-airbag,verified-plugin,model,4021,20,2,80,34,-46,100
hjqcan/dsh-goodmemory,verified-plugin,session,5720,18,2,80,9,-71,100
MarecGents/deepseek-harness-hub,verified-plugin,other,17760,18,2,80,44,-36,100
Blank-not-black/dsh-remote-plugin,verified-plugin,other,2437,4,2,80,25,-55,100
orangeofcarl0-sys/dsh-large-proj-perf,verified-plugin,session,10882,10,2,80,37,-43,100
orangeofcarl0-sys/dsh-fresh-start,verified-plugin,session,3952,4,2,80,15,-65,100
boogoo619/dsh-focus-overlay,verified-plugin,ui,3840,8,2,80,44,-36,70
MRZHUH/dsh-remote-server,verified-plugin,session,11606,14,2,80,7,-73,100
memorax-ai/dsh-patchouli,verified-plugin,memory,5433,2,2,80,45,-35,70
Li3NGa/DHS-multi-agent-plugin,verified-plugin,skill,10602,26,2,80,33,-47,65
clarkzhao/dsh-llm-grok,verified-plugin,model,3806,14,2,80,30,-50,100
lmzhen/dsh-evolution,conflict,other,11675,30,2,80,38,-42,80
lcthe/dsh-timeline-rail,verified-plugin,ui,5700,6,2,80,38,-42,100
dshworks/dsh-meter,verified-plugin,model,25288,14,2,80,15,-65,65
Max-Null/dsh-habit,verified-plugin,other,2713,6,2,50,0,-50,65
314857493/dsh-vision,verified-plugin,tools,9686,16,2,80,79,-1,65
NormanFxxkingRockwell/dsh-auto-vision,verified-plugin,vision,3673,10,2,80,28,-52,100
zeng6125-rgb/dsh-llm-retry-settings,verified-plugin,model,4847,12,2,80,29,-51,100
edusrez/dsh-tool-web-enhanced,verified-plugin,tools,16993,14,2,80,27,-53,65
Max-Null/dsh-skill-mcp-center,verified-plugin,dev,2006,4,2,80,13,-67,100
wydddddcool/dsh-hover-approve,verified-plugin,ui,3629,6,2,80,28,-52,100
GMH13552/dsh-timer-scheduler,verified-plugin,workflow,5318,8,2,80,36,-44,80
22-ai-00/dsh-enhanced,conflict,other,10112,32,2,50,5,-45,100
sealfly/dsh-reasonix-desktop,unknown,other,1940,4,2,40,11,-29,65
Max-Null/dsh-chat-rail,verified-plugin,ui,2968,6,2,80,42,-38,100
Max-Null/dsh-node-appearance,verified-plugin,ui,2814,8,2,80,25,-55,100
qubyyang/awesome-ios-sim,verified-plugin,tools,13862,36,2,80,59,-21,100
chenyinrusi/dsh-llm-cost,verified-plugin,usage,3763,6,2,80,13,-67,100
wangxing-git/dsh-tool-session,verified-plugin,session,5765,10,2,80,40,-40,100
anht3889/dsh-mcp-management,conflict,tools,3831,4,2,80,0,-80,80
SiriusWJ/dsh-updater-npm,verified-plugin,tools,5186,4,2,80,9,-71,100
zenglihunter/dsh-petdex-pet,verified-plugin,tools,3295,2,2,80,46,-34,80
re-ITRT/dsh-file-fix,verified-plugin,session,4886,10,2,80,9,-71,100
Letter2025/dsh-task-worktree,verified-plugin,git,7130,8,2,80,30,-50,100
moyu-good/dsh-lark-bridge,verified-plugin,remote,13214,8,2,50,38,-12,65
sunny0826/dsh-plugin-herdr,verified-plugin,session,1901,6,2,70,12,-58,100
kongdexu/dsh-nav-pointer,verified-plugin,ui,4187,10,2,80,45,-35,100
Motuo24/dsh-thinking-slider,unknown,model,7038,14,2,50,46,-4,100
9087/dsh-diff-approval,verified-plugin,other,5147,8,2,50,35,-15,100
DoggyHU/dsh-daily-sticky,verified-plugin,tools,2772,10,2,80,36,-44,80
yhfgyyf/dsh-auto-preset-router,verified-plugin,skill,4936,12,2,80,0,-80,100
dhicoc/dsh-theme-mineradio,verified-plugin,theme,4998,10,2,80,29,-51,80
clarkzhao/dsh-airp,verified-plugin,other,2595,10,2,80,16,-64,80
zhy201810576/dsh-vditor,verified-plugin,tools,1985,6,2,70,32,-38,100
Shelaghfahrenheit482/dsh-mini,verified-non-plugin,model,6546,2,2,50,35,-15,65
PaoMoXML/dsh-paste-names,verified-plugin,ui,4119,12,2,80,9,-71,100
Mempemp/DSH-CodeEditor_BSL,verified-plugin,dev,7340,4,2,50,27,-23,100
null5069/dsh-better-stats,verified-plugin,usage,10253,6,2,80,25,-55,65
hytime/dsh-client-ui-shortcuts,verified-plugin,ui,9287,6,2,80,25,-55,100
xsoc1/math-research-dsh,verified-plugin,skill,13840,14,2,80,15,-65,100
taltara/capmark,verified-plugin,tools,5905,14,2,50,4,-46,65
PolinniZhong/dsh-session-kb,verified-plugin,session,9406,6,2,80,36,-44,100
derekhu0002/archgraph,verified-plugin,memory,2475,2,2,80,14,-66,80
ShanHaiFish/dsh-check-for-updates,verified-plugin,theme,13704,8,2,80,54,-26,100
T-MKT/dsh-customization-settings,verified-plugin,theme,1006,4,2,70,6,-64,100
Alain-Prot0s5/dsh-screenshot,verified-plugin,dev,6910,6,2,80,69,-11,80
void2anything/dsh-qingagent,verified-plugin,docs,10119,10,2,80,58,-22,100
enterhalf/dsh-web-network-optimizer,verified-plugin,dev,2365,6,2,80,0,-80,100
YiMlT/dsh-notify-yimit,verified-plugin,notify,3275,6,2,80,25,-55,100
log-li/dsh-automode,verified-plugin,security,15204,16,2,80,10,-70,100
AmethystLuna/embedded-workbench,verified-plugin,skill,7076,26,2,80,38,-42,80
BaronCyrus/dsh-harness-ally,verified-plugin,skill,10060,6,2,80,57,-23,100
caob23/dsh-browser-control,verified-plugin,browser,6167,20,2,80,50,-30,100
LCYLYM/dsh-plugin-compat-guardian,unknown,other,6776,10,2,50,15,-35,30
Max-Null/dsh-draft-polish,verified-plugin,tools,3081,6,2,80,36,-44,100
EternalNight996/dsh-theme,verified-plugin,ui,3434,4,2,50,30,-20,100
qwert702/dsh-commander,verified-plugin,session,7433,6,2,50,47,-3,100
EternalNight996/dsh-ui-three-body,verified-plugin,ui,12229,8,2,50,52,2,65
LittleBlackTong/dsh-plugin-memory,verified-plugin,memory,7697,10,2,80,32,-48,100
kobenfang/BigLead,verified-plugin,skill,1157,6,2,40,3,-37,100
chenkai2/dsh-daemon,verified-plugin,dev,12671,6,2,50,54,4,100
initial-d/dsh-plugin-mlquant-benchmark,verified-plugin,tools,4499,10,2,80,32,-48,100
ruisenbai/dsh-annotation,verified-plugin,ui,10197,10,2,80,58,-22,100
00080000/dsh-project-memory,verified-plugin,memory,12571,14,2,80,36,-44,100
franksong2702/dsh-dictate,verified-plugin,model,5618,4,2,50,59,9,100
Phant0Meow/dsh-meow-cachebilling,verified-plugin,usage,2340,2,2,80,24,-56,100
lsq-dsh-plugins/dsh-windows-notifications,verified-plugin,notify,5422,6,2,80,13,-67,100
Xinyi21yf/deepseek-harness-plugins,verified-plugin,other,1984,8,2,70,0,-70,80
jerryjiao/dsh-wewrite,verified-plugin,workflow,12421,8,2,50,62,12,65
Tianbuyu-wwx/dsh-hermes-link,verified-plugin,session,18474,14,2,80,40,-40,100
alextangson/dsh-dispatch,verified-plugin,tools,12103,8,2,50,40,-10,100
etony668/dsh-task-board,verified-plugin,session,5839,16,2,80,39,-41,100
yu502950715yang/dsh-use-wallpaper,verified-plugin,tools,8083,18,2,50,39,-11,100
0neKbyte/dsh-approval-assistant_0neKbyte,verified-plugin,notify,1427,2,2,70,0,-70,100
bettermen/dsh-course-writer,verified-plugin,session,5154,8,2,50,68,18,100
yhfgyyf/dsh-guardian-mode,verified-plugin,dev,8501,12,2,80,36,-44,100
Linxiushen/dsh-workflow-isolate,verified-plugin,tools,11814,14,2,80,29,-51,100
blaxel-ai/deepseek-harness-blaxel-sandbox,verified-plugin,other,3764,10,2,50,13,-37,65
Wiselfx/dsh-freeweb,verified-plugin,tools,5603,14,2,80,9,-71,45
Shizuku-keop/dsh-plugin-brainstorm-visualizer,verified-plugin,other,204,0,2,10,0,-10,65
maxmilian/dsh-sonarqube,verified-plugin,security,6310,18,2,80,45,-35,100
imkelt/DSH-RAG,verified-plugin,tools,11503,14,2,80,63,-17,45
AlexKaiqi/dsh-session-assistant,verified-plugin,session,3929,4,2,80,22,-58,100
BigBlueBaby/codex2dsh,verified-plugin,dev,9849,6,2,50,62,12,100
Whale-Zhang/dsh-cron-tasks,verified-plugin,session,3330,14,2,80,19,-61,100
zhaoan2308184882-spec/deepseek-harness-plugins,verified-plugin,model,2487,8,2,80,0,-80,80
dong3434/dsh-auto-maintenance,verified-plugin,dev,5423,22,2,50,30,-20,100
GMH13552/dsh-longrun-suite,verified-plugin,model,5303,18,2,80,56,-24,100
ai-eks/dsh-docking-layout,verified-plugin,ui,2261,8,2,80,20,-60,100
GM-HZ/dsh-dag-workflow,verified-plugin,workflow,12558,36,2,80,39,-41,100
cdxDNRF/dsh-wishadel-theme,verified-plugin,theme,4996,10,2,80,29,-51,80
NaNQiQ/deepseek-harness-remote-ssh,verified-plugin,dev,5816,8,2,80,42,-38,80
shoxiy-danny/dsh-feishu,verified-plugin,tools,11721,20,2,80,43,-37,65
bluechips-zhao/dsh-receipt,verified-plugin,model,5120,10,2,80,2,-78,80
FloatingLifeTL/dsh-plugin_session-manager-custom,verified-plugin,session,2472,8,2,80,38,-42,80
anonRTtty/dsh-api-balance-displayer-plugin,verified-plugin,model,4860,18,2,80,27,-53,65
yhfgyyf/dsh-tui-app,verified-plugin,dev,6088,12,2,80,27,-53,100
enoughpower/dsh-desktop-mac,verified-plugin,other,13555,10,2,80,11,-69,80
chenjie1129/deepseek-harness-reliability-governor,verified-plugin,model,14444,12,2,80,7,-73,100
Entity-Him/dsh-hiboard-push,verified-plugin,notify,4328,12,2,80,36,-44,100
inmny/dsh-continue,verified-plugin,session,1211,10,2,70,19,-51,100
mhwww/DSH-Wallpaper-Engine,verified-plugin,other,3825,8,2,80,6,-74,100
aorucshiea/dsh-safe-tui,verified-plugin,model,3055,10,2,50,24,-26,65
HIT-HTML/dsh-ENHANCED,unknown,theme,17860,18,2,50,36,-14,100
ddtcorex/dsh-maestro-memory,verified-plugin,session,27600,28,2,80,60,-20,100
wxxb789/dsh-raven-research,conflict,model,66117,54,2,80,83,3,65
soarGuo/dsh-auto-vision,verified-plugin,model,3374,12,2,80,6,-74,65
nxz1026/dsh-tray,verified-plugin,dev,5074,6,2,80,33,-47,100
hw-cola/dsh-dynamic-agents,verified-plugin,other,1922,12,2,70,25,-45,100
Onenightcarnival/deepseek-harness-desktop,unknown,other,5620,4,2,50,25,-25,100
lvxinrong/dsh-archscope,verified-plugin,other,26324,16,2,50,50,0,65
TOBYCAI/dsh-sessions-manager,verified-plugin,session,4638,6,2,80,46,-34,100
hyrinx/dsh-plugin-open-with,verified-plugin,ui,4171,8,2,80,45,-35,100
wgd753/awesome-dsh-plugin,unknown,dev,566379,0,2,30,0,-30,65
coeasy/oh-my-dsh,conflict,market,5581,12,2,50,25,-25,30
ZJUZhiyuCai/dsh-ivory,verified-plugin,theme,7469,12,2,80,21,-59,70
kk3ya03-star/dsh-lcx-codex,verified-plugin,tools,7257,14,2,50,58,8,35
zx490336534/dsh-spec-collab,verified-plugin,dev,7132,16,2,50,47,-3,100
peterwangze/dsh-reasoning-level,verified-plugin,model,8746,12,2,80,52,-28,100
SKzrui/DSH-CLI,unknown,session,8807,10,2,80,61,-19,45
Chu-m/dsh-chat-continue,verified-plugin,session,7744,28,2,80,43,-37,100
stas130286-blip/dsh-brainagent,verified-plugin,memory,11091,22,2,50,38,-12,65
XuXcode/dsh-loghud,verified-plugin,dev,4622,8,2,80,33,-47,70
wenbobodley/dsh-guandan,verified-plugin,fun,5569,12,2,50,25,-25,100
lispking/dsh-auto-evolve,verified-plugin,workflow,10660,12,2,80,12,-68,100
Lxd-Ashe/dsh-codex-theme,verified-plugin,theme,3207,10,2,80,28,-52,100
DaiYuhangSustc/dsh-cae-plugin,verified-plugin,other,10282,2,2,80,19,-61,80
hanxuanliang/dsh-chaos,verified-plugin,workflow,11148,14,2,80,49,-31,70
JohnnyTing/dsh-official-homepage-theme,verified-plugin,theme,1429,16,2,70,29,-41,100
zydg/dsh-cost,verified-plugin,other,4703,6,2,80,29,-51,65
coolbat/awesome-dsh-plugins,unknown,other,998483,6,2,50,51,1,65
dat-lequoc/dsh-kiro,verified-plugin,model,19242,18,2,80,36,-44,65
AI-Scarlett/build-dsh-plugin,verified-plugin,model,5972,14,2,80,17,-63,80
940842546/dsh-permissions,verified-plugin,security,2725,4,2,80,39,-41,100
syncended/deepseek-harness-automations,verified-plugin,workflow,7153,10,2,80,16,-64,100
SoberReport-AI/DeepGuard,unknown,market,7637,4,2,50,42,-8,35
AbelKeithsun/dsh-question-nav,verified-plugin,ui,5915,8,2,80,30,-50,100
Pasumao/dsh-plugin-dev-kb,verified-plugin,docs,4362,10,2,80,25,-55,80
Pasumao/dsh-plugin-notify,verified-plugin,notify,3290,6,2,80,31,-49,80
Jiyr0119/dsh-service-console,verified-plugin,dev,5657,6,2,80,34,-46,100
Hanice404/dsh-Session-State,verified-plugin,session,3720,6,2,80,28,-52,100
mel0nyrame/deepseek-harness-desktop,verified-plugin,other,7388,4,2,80,15,-65,100
temotee2103/dsh-overdrive,verified-plugin,notify,9618,12,2,80,49,-31,65
IvanWu2015/dsh-connect,conflict,notify,16114,8,2,80,51,-29,100
biggerboy/dsh-conversation-anchors,verified-plugin,ui,4030,8,2,80,43,-37,100
imkingjh999/dsh-deepsea,verified-plugin,fun,3206,6,2,50,27,-23,65
chunfenxiazhi-collab/dsh-stability-audit,verified-plugin,tools,8337,6,2,80,42,-38,100
wang-junjian/dsh-artifact-viewer,verified-plugin,other,6656,10,2,80,40,-40,100
welsione/dsh-model-router,verified-plugin,model,3872,8,2,80,38,-42,100
JunguangJiang/dsh-lark-channel,verified-plugin,session,4636,22,2,80,54,-26,100
88514205-oss/dsh-ryoshu-slash,verified-plugin,tools,3964,12,2,80,23,-57,100
AwesomeHou/dsh-doudizhu,verified-plugin,other,4081,8,2,80,20,-60,100
fb0sh/dsh-pentester,verified-plugin,other,1944,10,2,70,0,-70,100
joekytc/dsh-swarm,verified-plugin,workflow,30873,24,2,80,79,-1,100
asdshuaishuai/websearch-plugins,verified-plugin,model,9405,12,2,50,13,-37,65
rebron1900/dsh-mnemosyne,verified-plugin,memory,10187,10,2,80,27,-53,100
Mu-scorpio/token-usage-counter,verified-plugin,usage,2671,0,2,60,25,-35,80
sunxin-ai/dsh-design-qa,verified-plugin,vision,12186,22,2,80,50,-30,65
yuanzehui313/dsh-workspace-enhance,unknown,session,5358,8,2,80,27,-53,80
lkdx0220/Genshin-odette-skin-dsh,verified-plugin,theme,5285,18,2,80,24,-56,100
picoaide/picoaide-harness,verified-plugin,other,7599,2,2,50,66,16,70
guo6x/dsh-palate,verified-plugin,memory,12428,6,2,80,41,-39,100
annexwu/dsh-cos,verified-plugin,tools,3203,8,2,80,49,-31,100
DamonBao/dsh-dungeon-party,verified-plugin,tools,12525,24,2,80,60,-20,100
miuzel/dsh-graph,verified-plugin,other,3673,4,2,80,36,-44,100
Cyning12/dsh-coding-kit,verified-plugin,workflow,19173,10,2,50,40,-10,100
kendu76/dsh-music-player,verified-plugin,fun,7504,12,2,80,47,-33,100
omdsh-dev/dsh-sandbox-micro,verified-plugin,other,3071,8,2,80,34,-46,100
lhenlihai-hub/dsh-deepseek-chat,verified-plugin,other,1293,10,2,70,22,-48,100
rickyfu0625-cell/dsh-billing-dashboard,verified-plugin,other,2631,4,2,80,45,-35,65
DM010727/dsh-cline,unknown,tools,2900,0,2,60,61,1,80
ShuiQiongChuYunQiShi/disk-clean-cli,unknown,dev,9449,12,2,80,47,-33,80
perlied03/dsh-approval-auto-review,verified-plugin,dev,12980,12,2,80,36,-44,100
BrokkAi/bifrost,verified-plugin,tools,9968,6,2,50,26,-24,70
Yiipu/dsh-agentmemory,verified-plugin,memory,15674,6,2,80,18,-62,100
shangjian2023/dsh-rss-daily,verified-plugin,notify,3562,6,2,80,38,-42,100
cinob/dsh-plugin-custom-provider-enhancer,verified-plugin,model,6782,8,2,80,61,-19,100
R-LEI2536/dsh-more-agent-presets,verified-plugin,workflow,5563,4,2,80,0,-80,100
Lichen455/band-notify,verified-plugin,notify,4745,16,2,80,47,-33,100
drmi5446/dsh-wallpaper-engine,verified-plugin,theme,9279,12,2,80,38,-42,100
ztmajor/DSCoder,verified-plugin,dev,1872,2,2,40,31,-9,65
Guard42/dsh-humanize,verified-plugin,skill,10672,24,2,80,25,-55,70
MrmoLabs/dsh-mermaid,verified-plugin,docs,3956,20,2,80,31,-49,80
TYEclipse/dsh-musictheory,verified-plugin,tools,4125,4,2,80,28,-52,100
lifeopsgo/dsh-capability-toggle-plugin,verified-plugin,tools,4049,8,2,80,55,-25,100
loadingvx/deepseeh-harness-ultra-slash,verified-plugin,market,997,6,2,70,20,-50,100
Blackman99/codsh,verified-plugin,dev,10486,10,2,80,5,-75,35
Entity-Him/dsh-sky-skin,verified-plugin,theme,2242,2,2,80,2,-78,100
Rtyyy233/dsh-factor-mining-plugin,verified-plugin,model,5891,10,2,50,24,-26,100
logandoo/vibeweaver-dsh,verified-plugin,memory,5803,8,2,80,16,-64,80
entireyu/dsh-whalito-desk,unknown,dev,7419,12,2,50,53,3,65
AI-Scarlett/DSH-Store,verified-plugin,market,25255,10,2,80,64,-16,100
yhPrime/dsh-theme-picker,verified-plugin,theme,2237,10,2,80,15,-65,100
openma-ai/dsh-agents-plugins,verified-plugin,dev,21937,18,2,80,54,-26,100
LJH-snow/dsh-tool-gitlab,unknown,tools,12326,8,2,80,31,-49,100
lengzhanbao/dsh-taffy-theme,verified-plugin,theme,2501,6,2,50,6,-44,100
stvlynn/dsh.fish,conflict,model,7461,10,2,80,47,-33,70
dingminhua/dsh-subagent-default-model,verified-plugin,model,4594,16,2,80,29,-51,70
qishuilalala/dsh-voice-mode,verified-plugin,model,2550,2,2,80,30,-50,100
niushuanan/xiaozhuang-dsh,unknown,model,11143,4,2,50,39,-11,100
aorucshiea/dsh-plugin-toggle,verified-plugin,other,1077,2,2,70,28,-42,100
aorucshiea/dsh-preset-switch,verified-plugin,session,1289,4,2,70,25,-45,100
TaoruiLiu19/dsh-gsv,verified-plugin,tools,4145,6,2,80,57,-23,100
yamingmou/dsh-retrace,verified-plugin,session,16725,18,2,50,53,3,100
jonah791/dsh-agent-context,verified-plugin,other,826,2,2,70,6,-64,100
SCSpotato/dsh-remote,verified-plugin,dev,9907,26,2,80,40,-40,100
yangdongzhen590/dsh-knj-scheduler,verified-plugin,session,1563,4,2,70,22,-48,100
nicecx/dsh-relay,verified-plugin,notify,8367,14,2,80,51,-29,100
PetCT/dsh-Bio-image-dup-check,unknown,tools,6090,6,2,80,48,-32,100
royenheart/dsh-plugin-opencode-omo,verified-plugin,dev,15937,12,2,80,21,-59,65
possible055/agentshim,conflict,tools,14349,24,2,80,38,-42,80
SparkElf/dsh-plugins-plus,conflict,other,6020,0,2,30,4,-26,65
nlqh7/dsh-beautify,verified-plugin,theme,5472,4,2,50,40,-10,65
ne-ilyxa/dsh-session-drafts,verified-plugin,session,8367,4,2,80,28,-52,100
FAVKTOXIC/dsh-theme-liquid-glass,verified-plugin,theme,4156,10,2,80,5,-75,100
treers2/qq-operations,unknown,skill,4612,8,2,80,66,-14,80
yishengjun8/dsh-workspace-studio,verified-plugin,session,11391,8,2,50,42,-8,65
zmm863-commits/dsh-paperclip,verified-plugin,ui,1158,10,2,70,28,-42,100
zhaoyuntao-wl/dsh-plugin-thread,verified-plugin,memory,8012,6,2,80,25,-55,100
menotbobbybrown/dsh-plugin-mcp,unknown,model,6279,12,2,80,25,-55,65
TYEclipse/dsh-netdoctor,verified-plugin,tools,5351,6,2,80,38,-42,100
Ruiming-cn/dsh-better-at,verified-plugin,session,5689,12,2,80,46,-34,80
Ruiming-cn/dsh-more-session-operations,verified-plugin,session,1767,6,2,40,20,-20,65
ssheleg/sshlg-skills,unknown,tools,37258,36,2,80,48,-32,100
kanchengw/dsh-mindseye,verified-plugin,vision,5328,4,2,80,27,-53,100
buhuikongpan/dsh-project-context,verified-plugin,workflow,6149,12,2,80,6,-74,100
J0ss077/dsh-always-require-tools-approval,verified-plugin,security,3453,8,2,80,19,-61,100
fyjgtddco/DSH-SW-and-CAD,unknown,other,19614,40,2,80,41,-39,80
kobenfang/Eyes,verified-plugin,skill,968,4,2,70,27,-43,80
SocFeng/dsh-query-jump,verified-plugin,session,3254,14,2,80,33,-47,100
my-dsh/oh-my-dsh,unknown,other,2037,4,2,50,0,-50,100
whateverboy2333/dsh-flat-teams,verified-plugin,tools,3538,8,2,80,40,-40,100
kobenfang/BigFish,verified-plugin,skill,1296,6,2,40,3,-37,100
kobenfang/BigPlan,verified-plugin,skill,1155,6,2,40,3,-37,100
kobenfang/BigFood,verified-plugin,skill,1143,6,2,40,3,-37,100
kobenfang/Big8,verified-plugin,skill,1344,6,2,40,3,-37,100
kobenfang/BigFocus,verified-plugin,skill,1227,6,2,40,3,-37,100
ai-yukin/dsh-0-tools,verified-plugin,model,4181,2,2,80,51,-29,45
ErrorLst/dsh-code-pipeline,verified-plugin,model,5908,8,2,80,9,-71,100
TheMcSwift/DeepSeek-TUI,verified-plugin,dev,10646,8,2,80,44,-36,100
leonardwwq/dsh-cultivation,unknown,model,7752,24,2,80,64,-16,80
Jamailar/beav-deepseek-harness,verified-plugin,tools,3964,6,2,80,0,-80,100
